Klose;GER;19;2002;5;2006;5;2010;4;2014;2;2018;3
Ronaldo;BRA;15;1995;4;2002;8;2006;3
Muller;GER;14;1970;10;1974;4
Fontaine;FRA;13;1958;13
Pelé;BRA;12;1958;6;1962;1;1966;1;1970;4
Kocsis;HON;11;1954;11
Klinsman;GER;11;1990;3;1994;5;1998;3
Rahn;GER;10;1954;4;1958;6
Lineker;ANG;10;1986;6;1990;4
Bastistuta;ARG;12;1994;4;1998;5;2002;1
